,Ticker,close,date,high,low,month,open,volume
0,SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,2023-10,596.6,15322196
1,BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,2023-10,7780.8,944555
2,TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,2023-10,3148.8,1007308
3,ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883
4,TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,2023-10,3534.2,1948148
5,LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,2023-10,3040.5,3254492
6,TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,2023-10,859.32,1168848
7,RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,2023-10,1164.97,8859056
8,HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,2023-10,1232.5,2162636
9,JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,2023-10,776.55,1099773
10,ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,2023-10,8289.0,454402
11,POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,198.75,10830728
12,INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,2023-10,1436.05,4181867
13,TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387
14,BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,2023-10,918.25,4338272
15,TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577
16,WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,2023-10,406.45,2864052
17,TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1220.6,1622290
18,NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044
19,HINDUNILVR,2468.9,2023-10-03 05:30:00,2499.0,2461.8,2023-10,2490.0,1585626
20,APOLLOHOSP,5118.95,2023-10-03 05:30:00,5154.95,5066.0,2023-10,5138.95,268482
21,M&M,1537.4,2023-10-03 05:30:00,1598.0,1533.05,2023-10,1597.2,3436776
22,GRASIM,1913.84,2023-10-03 05:30:00,1931.32,1899.1,2023-10,1920.46,591326
23,ICICIBANK,940.3,2023-10-03 05:30:00,951.6,939.0,2023-10,951.6,11131636
24,ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899
25,ADANIPORTS,831.4,2023-10-03 05:30:00,836.75,824.25,2023-10,826.0,2453090
26,BEL,139.2,2023-10-03 05:30:00,140.6,137.2,2023-10,137.9,19010910
27,BAJAJFINSV,1561.05,2023-10-03 05:30:00,1564.2,1527.0,2023-10,1530.25,1083086
28,EICHERMOT,3351.4,2023-10-03 05:30:00,3434.95,3302.9,2023-10,3426.9,1354075
29,COALINDIA,291.9,2023-10-03 05:30:00,297.1,290.1,2023-10,297.05,9348540
30,MARUTI,10346.9,2023-10-03 05:30:00,10709.8,10303.3,2023-10,10709.8,623006
31,INDUSINDBK,1435.4,2023-10-03 05:30:00,1438.4,1420.0,2023-10,1432.0,1442499
32,ASIANPAINT,3166.85,2023-10-03 05:30:00,3227.8,3162.0,2023-10,3166.1,1219145
33,TATASTEEL,128.0,2023-10-03 05:30:00,129.1,127.25,2023-10,129.0,18613557
34,HDFCLIFE,633.55,2023-10-03 05:30:00,637.5,628.55,2023-10,634.45,3454441
35,DRREDDY,1092.34,2023-10-03 05:30:00,1117.38,1090.0,2023-10,1117.38,2065240
36,SUNPHARMA,1141.45,2023-10-03 05:30:00,1161.95,1139.25,2023-10,1159.55,1946966
37,KOTAKBANK,1727.05,2023-10-03 05:30:00,1735.0,1715.45,2023-10,1730.0,5534869
38,SHRIRAMFIN,1921.95,2023-10-03 05:30:00,1939.9,1881.0,2023-10,1938.0,2207907
39,NESTLEIND,2231.52,2023-10-03 05:30:00,2259.47,2225.52,2023-10,2250.69,500130
40,ONGC,184.6,2023-10-03 05:30:00,189.3,183.65,2023-10,189.3,22118500
41,CIPLA,1182.8,2023-10-03 05:30:00,1185.7,1170.95,2023-10,1184.0,1581125
42,BPCL,170.68,2023-10-03 05:30:00,174.6,170.43,2023-10,174.25,10514554
43,BRITANNIA,4495.45,2023-10-03 05:30:00,4553.25,4486.6,2023-10,4524.8,543482
44,SBILIFE,1292.45,2023-10-03 05:30:00,1302.15,1282.65,2023-10,1302.15,1282289
45,HINDALCO,479.95,2023-10-03 05:30:00,484.55,476.6,2023-10,483.1,4657602
46,HEROMOTOCO,3015.6,2023-10-03 05:30:00,3064.9,2991.5,2023-10,3058.0,387906
47,AXISBANK,1041.05,2023-10-03 05:30:00,1044.7,1032.6,2023-10,1035.0,11589322
48,HDFCBANK,1508.05,2023-10-03 05:30:00,1527.0,1506.0,2023-10,1527.0,19485847
49,BAJAJ-AUTO,5016.45,2023-10-03 05:30:00,5073.0,4997.1,2023-10,5065.0,464531
50,SBIN,586.25,2023-10-04 05:30:00,600.45,584.45,2023-10,600.0,24914612
51,BAJFINANCE,7854.05,2023-10-04 05:30:00,8043.0,7820.0,2023-10,8025.0,1176384
52,TITAN,3166.65,2023-10-04 05:30:00,3205.0,3151.0,2023-10,3186.0,486969
53,ITC,436.1,2023-10-04 05:30:00,441.7,433.3,2023-10,439.75,13396709
54,TCS,3537.75,2023-10-04 05:30:00,3548.0,3477.3,2023-10,3486.3,1788138
55,LT,3027.75,2023-10-04 05:30:00,3064.1,2990.05,2023-10,3064.1,3100946
56,TATACONSUM,854.13,2023-10-04 05:30:00,859.17,844.5,2023-10,856.36,615431
57,RELIANCE,1157.08,2023-10-04 05:30:00,1159.5,1147.55,2023-10,1154.5,10286386
58,HCLTECH,1239.55,2023-10-04 05:30:00,1244.8,1225.0,2023-10,1234.0,2253785
59,JSWSTEEL,756.6,2023-10-04 05:30:00,768.0,753.15,2023-10,767.95,1654158
60,ULTRACEMCO,8120.85,2023-10-04 05:30:00,8292.55,8045.05,2023-10,8292.55,884369
61,POWERGRID,199.0,2023-10-04 05:30:00,199.4,195.4,2023-10,198.9,14120040
62,INFY,1444.35,2023-10-04 05:30:00,1449.95,1418.2,2023-10,1425.0,4510406
63,TRENT,2022.3,2023-10-04 05:30:00,2055.95,2007.6,2023-10,2054.0,551771
64,BHARTIARTL,924.25,2023-10-04 05:30:00,925.95,918.3,2023-10,918.3,5603669
65,TATAMOTORS,613.6,2023-10-04 05:30:00,620.8,608.3,2023-10,620.8,7612709
66,WIPRO,404.9,2023-10-04 05:30:00,405.45,400.65,2023-10,402.7,3452935
67,TECHM,1205.0,2023-10-04 05:30:00,1215.5,1186.05,2023-10,1210.0,2340603
68,NTPC,235.15,2023-10-04 05:30:00,241.0,231.5,2023-10,241.0,25424437
69,HINDUNILVR,2507.85,2023-10-04 05:30:00,2511.05,2465.15,2023-10,2467.05,1587335
70,APOLLOHOSP,5047.4,2023-10-04 05:30:00,5096.85,4982.3,2023-10,5085.0,442482
71,M&M,1522.1,2023-10-04 05:30:00,1537.9,1501.75,2023-10,1531.8,2580901
72,GRASIM,1888.34,2023-10-04 05:30:00,1902.44,1869.62,2023-10,1898.45,687673
73,ICICIBANK,930.05,2023-10-04 05:30:00,935.5,925.0,2023-10,935.0,17334739
74,ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377
75,ADANIPORTS,824.6,2023-10-04 05:30:00,845.45,819.35,2023-10,830.95,4096647
76,BEL,138.85,2023-10-04 05:30:00,139.15,136.55,2023-10,138.0,14912053
77,BAJAJFINSV,1532.55,2023-10-04 05:30:00,1555.85,1521.15,2023-10,1555.0,1614123
78,EICHERMOT,3400.9,2023-10-04 05:30:00,3408.95,3323.75,2023-10,3350.0,566983
79,COALINDIA,287.95,2023-10-04 05:30:00,291.5,285.9,2023-10,290.8,6338888
80,MARUTI,10129.8,2023-10-04 05:30:00,10283.9,10090.0,2023-10,10283.9,407793
81,INDUSINDBK,1401.3,2023-10-04 05:30:00,1428.5,1386.2,2023-10,1424.85,3978667
82,ASIANPAINT,3169.9,2023-10-04 05:30:00,3189.0,3151.35,2023-10,3164.95,892584
83,TATASTEEL,125.3,2023-10-04 05:30:00,127.1,124.5,2023-10,127.0,33272725
84,HDFCLIFE,625.5,2023-10-04 05:30:00,632.0,624.25,2023-10,631.0,2357914
85,DRREDDY,1083.56,2023-10-04 05:30:00,1099.8,1080.3,2023-10,1093.0,2109530
86,SUNPHARMA,1123.8,2023-10-04 05:30:00,1139.0,1113.0,2023-10,1138.1,1803871
87,KOTAKBANK,1722.05,2023-10-04 05:30:00,1727.0,1709.0,2023-10,1715.0,6220979
88,SHRIRAMFIN,1850.6,2023-10-04 05:30:00,1919.95,1841.5,2023-10,1909.0,1340167
89,NESTLEIND,2298.62,2023-10-04 05:30:00,2335.88,2255.1,2023-10,2280.51,2134880
90,ONGC,182.75,2023-10-04 05:30:00,184.6,182.1,2023-10,184.45,9360058
91,CIPLA,1167.05,2023-10-04 05:30:00,1185.0,1161.3,2023-10,1178.1,999123
92,BPCL,170.68,2023-10-04 05:30:00,172.48,169.78,2023-10,170.68,6049760
93,BRITANNIA,4532.5,2023-10-04 05:30:00,4540.0,4466.75,2023-10,4490.0,318564
94,SBILIFE,1270.55,2023-10-04 05:30:00,1297.7,1264.35,2023-10,1291.6,1139615
95,HINDALCO,473.4,2023-10-04 05:30:00,477.9,470.0,2023-10,474.0,3302259
96,HEROMOTOCO,2989.05,2023-10-04 05:30:00,3020.0,2976.05,2023-10,3015.95,307263
97,AXISBANK,995.55,2023-10-04 05:30:00,1037.0,988.85,2023-10,1035.35,22584212
98,HDFCBANK,1529.55,2023-10-04 05:30:00,1535.0,1489.25,2023-10,1495.0,27324715
99,BAJAJ-AUTO,4918.6,2023-10-04 05:30:00,5019.2,4903.05,2023-10,5011.25,256544
100,SBIN,592.15,2023-10-05 05:30:00,594.35,587.1,2023-10,590.0,13248028
101,BAJFINANCE,7850.9,2023-10-05 05:30:00,7914.85,7826.9,2023-10,7914.85,795061
102,TITAN,3216.5,2023-10-05 05:30:00,3231.0,3165.0,2023-10,3173.9,1109881
103,ITC,436.05,2023-10-05 05:30:00,440.5,435.05,2023-10,440.0,10030257
104,TCS,3589.35,2023-10-05 05:30:00,3624.0,3551.2,2023-10,3554.0,2990768
105,LT,3096.05,2023-10-05 05:30:00,3114.9,3032.55,2023-10,3032.55,3413447
106,TATACONSUM,849.64,2023-10-05 05:30:00,858.58,846.97,2023-10,855.42,740770
107,RELIANCE,1157.05,2023-10-05 05:30:00,1164.7,1154.5,2023-10,1159.63,10953682
108,HCLTECH,1235.45,2023-10-05 05:30:00,1253.95,1227.8,2023-10,1249.0,2995200
109,JSWSTEEL,755.5,2023-10-05 05:30:00,762.65,752.9,2023-10,762.0,1459736
110,ULTRACEMCO,8177.45,2023-10-05 05:30:00,8208.8,8125.0,2023-10,8177.0,310506
111,POWERGRID,196.6,2023-10-05 05:30:00,199.5,195.35,2023-10,199.5,14575590
112,INFY,1463.45,2023-10-05 05:30:00,1475.65,1450.2,2023-10,1452.0,7384621
113,TRENT,2047.6,2023-10-05 05:30:00,2058.15,2022.3,2023-10,2022.95,461744
114,BHARTIARTL,928.85,2023-10-05 05:30:00,929.6,919.4,2023-10,925.05,7063132
115,TATAMOTORS,619.6,2023-10-05 05:30:00,621.35,614.65,2023-10,619.0,7893892
116,WIPRO,406.8,2023-10-05 05:30:00,410.4,405.0,2023-10,407.95,4062652
117,TECHM,1205.6,2023-10-05 05:30:00,1223.95,1199.5,2023-10,1214.0,2497613
118,NTPC,233.85,2023-10-05 05:30:00,237.4,232.05,2023-10,237.25,22472389
119,HINDUNILVR,2519.55,2023-10-05 05:30:00,2524.8,2495.35,2023-10,2518.0,1909928
120,APOLLOHOSP,5047.05,2023-10-05 05:30:00,5079.85,5026.65,2023-10,5054.95,363289
121,M&M,1537.95,2023-10-05 05:30:00,1550.8,1513.05,2023-10,1533.0,1991367
